Protein_0me	CHIR-265/RAF-265	Sunitinib	CHIR-258/TKI-258	AMG-706	SB-431542	Dasatinib	ZD-6474	BMS-387032/SNS-032	ABT-869	AST-487	Sorafenib	Lapatinib	MLN-518	EKB-569	Roscovitine	SU-14813	PKC-412	Erlotinib	JNJ-7706621	SB-202190	CP-690550	VX-680/MK-0457	Flavopiridol	CP-724714	Staurosporine	LY-333531	CI-1033	Imatinib	PI-103	GW-2580	Gefitinib	AZD-1152HQPA	VX-745	MLN-8054	SB-203580	BIRB-796	SB-203580	GW-786034	PTK-787
1CM8	-43.077	-29.606	-31.783	-34.134	-34.173	-37.319	-31.701	-24.443	-36.155	-41.742	-40.144	-20.830	-24.049	-33.400	-31.878	-37.224	-23.821	-33.034	-26.518	-30.775	-26.721	-40.010	-29.033	-37.409	-24.128	-14.982	-42.530	-36.352	-23.718	-34.790	-38.106	-34.946	-29.646	-30.957	-32.680	-38.656	-34.254	-36.038	-34.199
3FXX	-44.064	-48.499	-41.287	-43.157	-37.454	-47.989	-48.015	-43.832	-40.099	-52.530	-47.879	-50.588	-43.911	-57.638	-34.429	-51.817	-31.887	-40.932	-35.834	-38.766	-44.621	-51.435	-41.155	-44.578	-46.846	-41.828	-45.357	-45.919	-33.303	-51.220	-43.533	-56.271	-40.839	-32.482	-40.179	-44.550	-40.934	-50.090	-40.400
1MQB	-44.365	-58.387	-47.388	-42.937	-36.885	-55.022	-63.826	-54.947	-45.919	-59.408	-47.200	-55.068	-55.753	-58.187	-36.812	-49.785	-33.176	-37.694	-32.227	-45.525	-54.642	-59.296	-48.185	-45.460	-37.746	-40.622	-39.164	-56.777	-33.059	-60.943	-52.386	-66.914	-42.843	-41.189	-44.948	-44.287	-47.682	-54.515	-39.914
2X2L	-48.374	-52.593	-52.615	-40.013	-42.816	-59.423	-61.947	-54.712	-44.961	-57.797	-49.480	-65.977	-50.047	-63.151	-36.710	-35.747	-30.936	-40.333	-33.808	-41.522	-39.095	-56.376	-48.492	-43.027	-29.165	-31.381	-41.446	-54.392	-32.582	-51.764	-48.805	-54.821	-31.554	-35.375	-38.203	-49.485	-39.369	-52.339	-39.596
2X7F	-37.889	-32.539	-40.362	-32.340	-33.840	-47.540	-40.895	-31.525	-34.677	-44.611	-41.850	-28.291	-24.831	-49.936	-30.525	-31.884	251.897	-46.433	-26.696	-29.518	-27.048	-33.617	-21.857	-37.022	0	0	-46.650	-39.383	-24.522	-42.191	-43.218	-32.492	-29.365	-22.436	-32.002	-34.316	-32.158	-32.479	-36.263
3QRK	-43.780	-50.296	-56.078	-38.324	-36.162	-65.278	-55.271	-51.393	-39.870	-63.528	-45.316	-39.724	-51.531	-55.825	-33.015	-40.267	-13.301	-33.049	-30.524	-52.020	-59.003	-55.983	-52.488	-41.668	-39.243	-17.154	-42.965	-56.779	-26.594	-56.831	-63.817	-46.414	-35.876	-23.766	-34.004	-37.214	-39.585	-67.461	-37.330
3FME	-41.867	-35.148	-26.800	-36.385	-33.693	-44.401	-32.597	-24.309	-41.062	-40.021	-43.587	-33.967	-40.727	-35.867	-35.833	-40.360	-20.066	-37.083	-35.750	-34.836	-34.062	-38.520	-32.616	-42.670	-28.713	-24.868	-39.669	-42.231	-30.067	-36.352	-40.928	-35.705	-41.272	-43.616	-32.268	-48.342	-34.352	-35.335	-37.771
3GVU	-44.822	-49.932	-49.532	-33.664	-35.048	-60.696	-52.185	-49.957	-45.479	-57.189	-53.081	-31.119	-42.718	-44.386	-32.717	-39.411	-18.036	-38.534	-33.909	-49.180	-55.525	-56.006	-44.490	-39.028	5.009	-26.650	-46.300	-54.674	-23.279	-62.180	-56.758	-45.786	-36.923	-26.684	-32.265	-38.625	-32.787	-55.035	-35.384
3OMV	-45.531	-36.570	-25.639	-39.163	-36.010	-39.245	-35.676	-28.448	-37.951	-37.698	-38.600	-29.351	-34.297	-25.070	-40.398	-44.944	-20.601	-37.625	-30.440	-36.215	-27.489	-40.926	-34.724	-37.339	-6.368	39.443	-40.009	-45.867	-36.899	-33.757	-37.217	-32.644	-24.385	-40.343	-35.597	-45.868	-40.055	-30.037	-42.815
3HNG	-47.364	-33.294	-29.985	-39.557	-10.405	-41.998	-38.898	-32.354	-45.534	-42.066	-45.410	-16.387	-15.625	-23.472	-25.774	-33.507	0	-20.144	-27.766	-37.279	-28.041	-28.494	1.082	-44.067	0	0	-32.763	-46.465	8.396	-46.701	-41.929	-45.830	-34.427	-23.853	-19.562	-27.789	-14.530	-42.459	-52.389
3LCD	-45.291	-42.489	-45.504	-35.680	-36.678	-48.145	-44.456	-40.479	-38.095	-47.327	-45.944	-48.871	-42.170	-52.347	-35.849	-37.967	-31.422	-38.404	-36.908	-38.233	-37.853	-42.972	-43.022	-41.888	-45.999	-41.815	-43.664	-44.078	-34.746	-43.621	-43.017	-49.539	-31.460	-30.066	-34.843	-44.052	-36.049	-47.656	-35.601
3MTL	-39.919	-33.201	-38.771	-33.892	-34.278	-38.386	-39.835	-27.755	-39.911	-38.236	-44.213	-27.326	-32.132	-36.658	-33.768	-33.730	23.675	-39.955	-26.898	-33.706	-27.494	-33.618	-32.199	-33.704	7.552	-12.388	-35.409	-32.997	-37.227	-38.046	-37.389	-34.018	-32.650	-24.496	-29.838	-39.094	-26.816	-41.403	-42.463
3KN5	-47.877	-62.347	-66.395	-36.947	-39.027	-74.429	-63.482	-59.368	-38.690	-69.230	-50.273	-56.414	-54.057	-62.940	-40.160	-44.841	-32.918	-39.848	-36.405	-58.284	-61.346	-65.918	-58.641	-46.731	-49.728	-52.546	-44.060	-62.866	-32.763	-60.471	-72.006	-60.601	-37.757	-29.351	-40.441	-45.210	-41.939	-68.045	-42.050
2SRC	-44.984	-35.894	-34.247	-41.074	-40.240	-45.676	-45.112	-25.750	-43.302	-44.026	-44.257	-35.322	-36.881	-39.073	-40.847	-38.777	-29.448	-41.592	-37.790	-31.912	-39.252	-50.261	-37.469	-43.852	-31.834	-28.743	-50.428	-45.087	-32.337	-42.908	-48.048	-43.746	-38.935	-40.492	-40.042	-51.793	-40.843	-38.742	-39.354
2QLU	-39.268	-38.022	-36.971	-36.669	-36.495	-47.556	-40.246	-21.792	-47.807	-45.002	-45.706	-30.383	-26.493	-29.619	-34.688	-33.153	0	-40.173	-33.114	-29.542	-26.530	-29.053	-22.731	-44.951	646.805	64.738	-42.749	-37.571	-24.682	-40.593	-40.149	-37.105	-31.037	-28.278	-37.250	-41.674	-30.541	-35.261	-33.799
3S95	-44.827	-53.342	-47.734	-38.601	-39.694	-52.152	-54.336	-46.969	-41.194	-53.188	-49.651	-58.177	-45.969	-61.384	-37.723	-45.824	-28.198	-37.729	-33.449	-40.476	-45.085	-48.111	-45.440	-43.959	-50.497	-42.016	-40.705	-47.516	-34.468	-56.676	-49.753	-55.727	-36.905	-32.163	-37.668	-44.911	-39.891	-48.963	-36.927
3LXN	-44.198	-39.557	-44.289	-40.988	-37.580	-48.080	-47.753	-41.730	-40.243	-47.082	-48.190	-39.067	-41.527	-51.697	-36.862	-32.627	282.719	-39.447	-38.120	-36.233	-33.433	-40.397	-33.397	-43.349	-1.704	-17.377	-47.268	-44.062	-31.777	-43.948	-42.906	-36.708	-33.301	-31.937	-37.098	-44.147	-39.317	-43.649	-39.186
3GC8	-48.533	-37.981	-35.122	-42.088	-41.623	-45.187	-38.868	-27.346	-42.741	-47.685	-47.668	-40.931	-28.416	-39.542	-40.401	-46.867	192.139	-51.811	-36.418	-41.810	-31.561	-42.684	-30.130	-46.502	116.783	8.705	-44.893	-42.790	-37.474	-49.866	-46.055	-39.140	-42.992	-36.904	-42.179	-47.000	-44.851	-42.127	-42.649
3CD3	-44.825	-54.357	-55.308	-37.136	-37.426	-66.611	-58.058	-49.503	-40.133	-60.094	-46.388	-65.693	-51.126	-63.329	-36.866	-40.693	-38.167	-40.303	-32.819	-48.810	-49.097	-53.822	-48.742	-43.396	-54.310	-41.440	-40.184	-54.321	-34.523	-57.543	-61.937	-55.846	-37.506	-28.232	-39.385	-45.925	-39.409	-54.687	-35.379
3BPR	-41.489	-42.648	-43.966	-34.814	-34.944	-49.920	-46.340	-40.796	-41.274	-51.851	-45.262	-42.180	-38.723	-52.778	-37.963	-37.636	-31.481	-37.366	-31.705	-39.770	-44.198	-42.614	-44.289	-44.874	-45.618	-36.681	-42.092	-48.516	-29.299	-49.465	-45.306	-45.106	-37.671	-29.124	-37.438	-41.951	-38.350	-52.713	-38.632
1WBP	-40.923	-46.910	-38.255	-36.458	-34.748	-42.881	-46.733	-45.250	-38.930	-50.163	-46.951	-43.413	-44.204	-56.549	-35.327	-42.559	-38.979	-39.497	-36.413	-36.001	-40.372	-52.732	-47.343	-35.699	-40.731	-50.267	-48.081	-41.971	-29.318	-48.701	-45.590	-44.426	-34.545	-30.598	-35.903	-48.795	-37.071	-46.581	-34.976
3A4O	-41.778	-41.547	-37.204	-35.158	-37.709	-42.213	-44.544	-32.533	-40.668	-41.686	-40.537	-44.208	-42.341	-49.722	-37.008	-40.431	-28.457	-40.666	-33.944	-31.736	-34.399	-49.493	-41.844	-41.525	-41.265	-45.027	-41.327	-42.549	-34.300	-44.481	-40.959	-47.829	-34.937	-31.930	-36.753	-44.134	-36.881	-44.233	-37.052
2X7G	-46.514	-54.071	-50.553	-35.256	-36.355	-46.540	-60.101	-49.374	-41.828	-65.626	-44.833	-44.663	-44.391	-59.628	-40.190	-43.529	-32.266	-39.683	-36.923	-42.422	-40.334	-54.945	-47.570	-38.109	-48.821	-59.114	-41.996	-51.272	-31.439	-53.471	-50.426	-51.689	-37.541	-36.992	-39.535	-38.400	-38.329	-55.662	-34.557
3LCS	-46.382	-42.817	-45.524	-39.122	-35.425	-53.169	-50.450	-40.702	-39.660	-51.744	-43.304	-45.862	-42.323	-49.422	-38.107	-37.598	-24.718	-38.371	-35.294	-39.143	-43.960	-44.140	-45.340	-43.090	-42.404	-39.438	-39.170	-46.501	-32.048	-48.789	-44.232	-50.977	-33.591	-34.695	-35.221	-45.139	-34.363	-48.407	-39.219
3C1X	-41.887	-44.416	-44.856	-33.784	-36.255	-46.828	-48.662	-36.214	-36.779	-47.890	-40.073	-44.691	-44.940	-44.746	-34.357	-34.981	-25.116	-30.268	-25.935	-34.621	-31.625	-50.400	-43.312	-38.130	-31.904	-30.350	-35.374	-50.649	-24.950	-46.032	-37.883	-49.108	-32.550	-27.967	-34.289	-36.875	-33.864	-52.276	-35.221
2CCH	-42.671	-44.789	-49.587	-40.178	-34.308	-62.844	-53.287	-49.979	-37.804	-60.978	-47.633	-36.951	-49.312	-55.438	-34.748	-40.790	-26.427	-35.233	-31.483	-46.053	-57.195	-55.164	-56.118	-43.165	-40.809	-46.084	-43.578	-51.246	-27.899	-58.948	-57.248	-42.155	-39.105	-29.239	-35.492	-46.934	-35.527	-58.911	-36.978
1UA2	-54.830	-39.272	-29.880	-49.142	-42.807	-48.259	-43.281	-33.741	-46.167	-50.777	-47.614	-31.803	-42.245	-50.822	-40.375	-42.649	-25.419	-43.014	-40.185	-39.963	-47.127	-44.749	-41.952	-41.387	-45.565	-46.260	-50.357	-41.240	-40.006	-53.094	-50.582	-38.659	-43.461	-55.446	-40.973	-46.228	-44.278	-47.184	-48.631
3RGF	-37.482	-25.378	-25.150	-29.173	-25.701	-27.939	-36.377	-17.188	-32.064	-37.506	-41.384	-20.266	-22.303	-21.304	-28.300	-28.158	-16.497	-30.649	-29.551	-22.796	-20.873	-23.890	-12.718	-35.239	0	117.066	-29.850	-30.807	-23.869	-39.281	-38.212	-29.687	-24.728	-26.575	-24.901	-31.062	-26.753	-29.638	-30.827
3BLQ	-39.849	-47.359	-39.876	-38.648	-34.234	-46.761	-44.577	-43.498	-39.146	-48.874	-39.450	-48.009	-46.384	-53.610	-33.547	-38.594	-29.676	-37.214	-34.973	-33.577	-42.839	-43.278	-38.609	-41.918	-43.054	-44.518	-40.977	-46.270	-28.342	-49.920	-46.363	-45.264	-36.092	-31.154	-32.697	-38.191	-38.770	-48.332	-37.010
2IJM	-50.677	-55.482	-46.147	-42.390	-40.396	-52.371	-54.365	-47.267	-44.050	-50.087	-48.600	-50.874	-38.376	-51.367	-36.107	-45.231	-29.963	-44.334	-36.933	-41.041	-45.999	-52.338	-43.517	-45.280	-40.872	-38.923	-42.825	-47.698	-32.751	-60.170	-50.632	-58.246	-38.772	-38.607	-39.486	-41.060	-39.983	-49.425	-40.548
3H9R	-42.143	-37.634	-40.030	-39.281	-36.707	-47.657	-37.056	-23.526	-39.471	-39.530	-42.336	-33.732	-30.071	-38.461	-39.728	-32.838	-24.643	-44.910	-34.097	-31.519	-27.598	-38.406	-38.108	-41.549	-21.955	-27.711	-48.635	-37.964	-35.145	-38.860	-44.958	-36.668	-27.664	-32.105	-34.045	-41.709	-36.463	-35.208	-42.356
2JC6	-42.668	-31.166	-27.168	-35.758	-36.099	-37.416	-36.646	-26.908	-35.350	-42.079	-40.655	-32.869	-33.813	-32.026	-35.746	-35.514	-28.709	-37.123	-34.866	-30.277	-26.781	-44.116	-30.833	-36.028	-27.261	-21.110	-40.054	-44.103	-29.980	-42.949	-39.940	-35.471	-31.161	-34.246	-35.093	-41.274	-35.043	-35.489	-35.798
2JAM	-41.420	-38.910	-42.133	-40.784	-36.125	-46.784	-41.727	-31.432	-38.095	-44.982	-43.645	-35.007	-38.744	-49.051	-37.083	-36.363	-33.499	-32.339	-28.229	-37.352	-35.591	-43.488	-37.510	-39.803	-36.732	-34.079	-37.715	-36.759	-30.796	-50.810	-37.528	-32.190	-29.391	-29.697	-33.032	-39.123	-32.845	-47.862	-38.556
3AQV	-37.456	-35.024	-36.963	-30.519	-33.086	-36.306	-38.395	-36.192	-31.118	-41.448	-39.853	-33.052	-34.403	-37.205	-31.681	-31.711	-24.839	-31.054	-32.651	-37.995	-34.475	-39.506	-38.830	-34.015	-22.189	-32.448	-35.868	-36.092	-28.108	-46.961	-37.324	-32.462	-32.931	-30.266	-30.976	-33.409	-33.582	-41.662	-34.409
2J7T	-48.292	-41.668	-38.963	-40.542	-31.728	-44.492	-45.955	-37.304	-39.437	-41.709	-44.108	-45.067	-37.777	-46.938	-32.234	-33.423	-27.479	-38.752	-32.388	-35.648	-36.937	-40.423	-43.276	-40.997	-45.373	-38.060	-42.483	-41.408	-33.351	-45.161	-42.009	-40.334	-32.069	-31.501	-36.417	-39.936	-40.468	-45.238	-35.119
3KRR	-46.279	-43.504	-50.145	-41.654	-44.658	-46.087	-49.139	-37.461	-38.737	-49.633	-45.448	-47.120	-34.787	-51.585	-37.532	-37.135	-26.275	-39.153	-34.588	-37.957	-39.285	-46.686	-37.285	-42.906	-36.509	-32.726	-36.663	-40.962	-31.127	-48.216	-48.790	-44.380	-33.003	-29.932	-31.393	-45.134	-33.338	-53.753	-38.165
3GT8	-45.932	-37.023	-35.688	-45.413	-41.313	-45.143	-44.815	-26.365	-45.090	-42.779	-48.954	-35.977	-36.332	-41.754	-44.175	-41.115	-18.070	-45.247	-42.332	-36.348	-32.919	-48.641	-33.946	-45.988	-4.488	-25.402	-50.346	-42.821	-33.941	-42.275	-46.907	-36.612	-30.419	-45.566	-37.326	-48.804	-44.436	-32.727	-43.788
3FAA	-50.712	-47.747	-47.163	-43.148	-42.779	-47.860	-46.019	-34.973	-45.203	-50.740	-47.509	-51.939	-39.598	-50.529	-40.025	-44.814	-30.293	-42.664	-35.793	-39.746	-42.825	-49.415	-47.307	-41.832	-41.459	-31.122	-50.209	-46.552	-35.321	-55.354	-47.579	-50.900	-29.793	-43.368	-42.404	-48.366	-41.472	-54.904	-40.670
2A19	-44.014	-42.803	-36.108	-38.136	-34.097	-44.019	-45.923	-37.688	-36.819	-43.002	-43.482	-44.671	-43.007	-47.784	-33.692	-42.215	-30.988	-34.765	-31.908	-32.076	-39.881	-39.269	-37.331	-43.008	-35.761	-36.870	-40.933	-42.950	-33.330	-45.479	-39.859	-48.273	-32.144	-29.627	-34.315	-41.444	-35.724	-42.625	-33.854
1GAG	-51.742	-68.522	-62.734	-44.719	-37.949	-61.011	-63.761	-61.042	-41.491	-58.901	-54.332	-48.729	-54.879	-73.992	-36.748	-47.369	-31.115	-41.671	-38.962	-47.638	-50.972	-59.920	-55.818	-43.681	-39.552	-51.581	-47.660	-51.999	-33.091	-57.257	-59.819	-70.251	-35.358	-31.738	-40.703	-48.813	-40.743	-65.561	-44.534
3AGL	-43.372	-59.738	-64.357	-35.328	-38.043	-71.572	-62.354	-53.805	-39.460	-59.803	-48.341	-60.888	-50.047	-67.955	-29.270	-41.147	-35.203	-32.564	-31.526	-51.316	-64.859	-54.172	-56.896	-36.851	-48.331	-62.850	-41.359	-61.724	-26.166	-60.248	-63.227	-51.660	-39.172	-28.884	-37.675	-42.665	-32.232	-61.227	-31.500
2DQ7	-45.311	-43.249	-42.375	-36.156	-36.783	-47.212	-51.973	-42.737	-40.664	-52.256	-41.269	-49.251	-44.188	-53.955	-36.436	-45.584	-31.373	-39.934	-33.828	-35.935	-37.838	-43.878	-49.351	-43.783	-44.049	-45.526	-44.196	-48.186	-35.654	-47.783	-43.638	-50.714	-34.329	-28.379	-34.470	-45.664	-36.221	-51.851	-40.442
1S9I	-39.937	-30.286	-43.486	-40.501	-36.423	-37.213	-37.933	-26.689	-43.460	-47.326	-45.070	-28.342	-29.682	-54.549	-33.620	-38.863	-33.072	-38.407	-36.929	-34.110	-32.362	-42.256	-29.376	-41.097	-37.484	-25.398	-52.605	-32.906	-32.042	-41.239	-43.489	-35.240	-30.935	-28.202	-34.721	-36.568	-28.953	-33.789	-40.537
3PP1	-50.094	-42.749	-36.784	-48.938	-40.418	-51.176	-43.649	-35.889	-45.434	-47.453	-48.918	-41.443	-41.323	-50.652	-41.322	-48.149	-34.083	-46.168	-39.676	-38.135	-34.777	-54.621	-40.582	-51.666	-20.425	-34.488	-50.300	-44.460	-34.739	-45.496	-49.838	-41.666	-35.937	-36.688	-45.481	-43.632	-43.819	-42.929	-48.935
3LL6	-42.674	-36.903	-33.319	-37.835	-37.508	-41.384	-40.235	-26.440	-33.714	-45.164	-44.275	-40.421	-34.983	-32.289	-37.769	-46.125	-23.896	-43.389	-31.262	-33.289	-25.205	-38.798	-29.670	-40.692	-22.019	-27.287	-47.319	-43.803	-34.713	-49.128	-42.359	-42.387	-28.989	-31.638	-36.958	-43.339	-33.902	-43.216	-35.354
3O50	-51.875	-60.306	-43.966	-44.271	-40.667	-60.083	-70.471	-58.589	-44.469	-62.777	-52.051	-44.888	-38.509	-63.602	-41.984	-51.793	25.386	-41.562	-38.157	-43.757	-51.556	-55.708	-51.719	-39.460	-17.955	-18.771	-48.981	-64.240	-32.282	-65.276	-53.084	-54.429	-36.612	-41.440	-38.714	-47.206	-38.830	-58.225	-38.933
3ALN	-45.104	-41.307	-33.059	-38.710	-46.505	-47.337	-37.239	-36.410	-44.162	-49.634	-52.308	-31.814	-32.443	-43.949	-44.640	-43.527	-29.512	-42.091	-39.734	-38.515	-38.537	-53.190	-32.336	-45.933	-19.620	-29.457	-47.722	-44.967	-36.984	-44.211	-42.404	-42.824	-31.426	-40.276	-42.154	-44.284	-41.262	-41.157	-41.900
3BHY	-48.939	-51.023	-58.364	-40.281	-37.988	-65.111	-58.374	-57.688	-39.263	-62.180	-44.593	-48.200	-53.753	-55.695	-35.834	-46.288	-34.728	-38.256	-34.615	-48.843	-52.883	-57.520	-53.333	-42.610	-49.077	-51.632	-40.193	-58.410	-31.763	-55.999	-52.107	-55.396	-36.232	-22.946	-37.159	-45.742	-42.926	-58.021	-36.168
2CKE	-41.498	-47.556	-48.295	-35.754	-40.571	-54.183	-53.475	-44.455	-38.750	-58.069	-45.518	-49.578	-46.770	-56.209	-33.392	-42.101	-28.180	-34.394	-34.839	-37.339	-43.768	-47.527	-52.163	-40.705	-41.760	-42.437	-38.038	-48.759	-31.355	-47.775	-42.777	-52.867	-29.389	-31.278	-41.236	-39.716	-37.916	-53.161	-40.135
3EH9	-50.278	-63.299	-75.529	-39.670	-45.397	-76.269	-64.150	-61.690	-45.277	-72.520	-58.483	-70.662	-54.610	-72.410	-38.149	-49.588	-7.791	-44.642	-37.256	-56.830	-52.714	-58.129	-45.377	-47.471	15.644	-45.903	-48.825	-66.905	-32.843	-64.797	-58.553	-74.886	-39.394	-20.985	-40.093	-48.767	-53.696	-69.613	-34.939
2IWI	-51.235	-63.070	-76.297	-43.000	-43.246	-84.427	-71.847	-83.752	-48.249	-74.429	-58.280	-73.327	-61.676	-85.678	-43.767	-48.194	-21.072	-50.068	-38.304	-65.341	-79.203	-77.528	-72.620	-51.761	-75.389	-60.860	-42.771	-69.038	-38.416	-80.058	-69.276	-53.229	-44.329	-35.185	-42.938	-54.739	-41.631	-93.129	-46.668
2XJ1	-42.385	-63.273	-76.329	-42.354	-42.819	-83.700	-67.912	-64.855	-41.343	-73.904	-50.536	-56.144	-62.604	-61.469	-34.340	-46.308	-37.622	-40.961	-36.003	-64.364	-72.711	-72.043	-64.371	-54.300	-49.283	-31.865	-48.687	-64.930	-32.708	-66.363	-75.387	-56.943	-37.256	-23.432	-43.800	-47.700	-41.246	-70.493	-36.384
2JFL	-44.972	-42.139	-38.454	-36.273	-35.718	-48.508	-47.017	-43.030	-41.051	-48.865	-41.340	-39.935	-43.815	-50.515	-31.744	-43.368	-28.789	-36.771	-34.935	-29.432	-38.145	-43.253	-36.931	-38.798	-48.459	-35.836	-41.586	-39.271	-32.708	-44.263	-40.247	-46.347	-34.744	-31.271	-35.114	-39.516	-40.418	-44.825	-33.584
1XJD	-44.628	-52.262	-54.550	-41.252	-37.183	-65.569	-52.405	-47.881	-39.837	-59.119	-45.128	-52.502	-42.724	-60.529	-36.064	-39.237	-24.185	-41.999	-35.255	-44.757	-54.454	-56.302	-53.541	-41.793	-48.665	-46.763	-42.709	-52.767	-31.552	-57.130	-54.482	-51.860	-33.656	-25.938	-35.721	-44.348	-37.781	-59.308	-35.595
3DTC	-46.433	-33.662	-32.417	-41.458	-41.574	-44.658	-32.857	-27.629	-45.306	-43.380	-42.687	-31.558	-29.512	-30.690	-36.783	-36.811	-22.673	-37.542	-33.707	-30.028	-26.099	-40.059	-12.157	-49.662	101.397	193.035	-42.188	-38.124	-33.199	-40.077	-45.450	-33.585	-25.151	-33.436	-35.057	-39.026	-32.820	-31.717	-42.016
2ZOQ	-42.642	-31.286	-39.027	-35.843	-39.442	-44.846	-33.127	-34.803	-43.334	-40.152	-43.374	-9.812	-30.923	-27.189	-32.025	-34.911	258.303	-34.674	-34.203	-38.170	-26.629	-42.081	-34.354	-35.333	104.927	38.521	-43.490	-38.056	-33.215	-43.877	-36.715	-34.641	-28.906	-31.443	-32.219	-28.805	-38.081	-41.688	-39.612
2OJI	-45.463	-45.430	-41.070	-37.707	-38.033	-49.540	-46.454	-43.892	-41.539	-50.445	-42.378	-49.016	-36.128	-52.516	-35.404	-43.998	-30.257	-37.358	-41.292	-34.152	-44.805	-43.483	-42.218	-41.536	-42.509	-42.890	-47.401	-39.358	-33.867	-56.512	-53.682	-45.623	-35.211	-34.122	-31.146	-40.065	-32.244	-49.477	-37.484
2Z7R	-43.481	-41.707	-42.831	-37.292	-41.611	-43.980	-43.252	-39.636	-36.337	-48.055	-45.564	-43.964	-35.684	-48.851	-37.219	-42.338	-37.302	-40.514	-41.560	-36.068	-50.838	-42.069	-44.300	-42.344	-45.643	-37.458	-39.821	-43.386	-31.203	-48.302	-44.724	-56.209	-32.903	-35.602	-44.017	-43.882	-39.948	-46.818	-36.003
1T46	-41.763	-45.134	-46.281	-36.117	-29.809	-53.993	-51.178	-37.723	-41.068	-51.603	-44.081	-18.383	-45.177	-40.198	-28.704	-37.772	0	-35.768	-40.907	-37.984	-50.956	-46.284	-40.289	-42.486	28.421	0	-45.037	-62.915	-21.581	-51.411	-49.533	-38.897	-34.668	-20.255	-31.932	-33.358	-34.168	-49.447	-43.760
1UWH	-43.645	-33.841	-37.153	-38.067	-32.323	-51.015	-33.930	-28.707	-49.350	-43.209	-55.373	-29.198	-24.910	-26.341	-38.460	-37.756	168.715	-39.789	-31.259	-34.772	-42.812	-34.623	-25.225	-45.333	167.415	0	-43.321	-39.986	-25.562	-48.653	-39.881	-36.633	-28.942	-25.197	-25.841	-32.896	-40.904	-44.834	-36.708
3LXL	-43.688	-37.503	-44.724	-39.199	-38.574	-50.341	-45.138	-43.149	-42.456	-50.828	-51.337	-56.546	-37.745	-58.567	-34.128	-38.592	-26.384	-41.088	-35.506	-44.306	-43.124	-48.379	-36.278	-40.299	-20.676	-29.314	-41.183	-54.961	-35.013	-46.462	-43.080	-50.805	-31.248	-26.733	-40.521	-45.635	-42.783	-52.546	-42.508
3HRF	-51.609	-60.212	-57.012	-45.006	-46.519	-67.435	-58.829	-57.384	-49.021	-68.648	-55.385	-47.060	-51.415	-62.174	-36.899	-53.597	-28.027	-39.794	-40.367	-48.751	-57.298	-64.057	-56.537	-45.388	-55.978	-54.225	-48.224	-53.238	-30.519	-64.346	-58.434	-54.577	-40.753	-29.673	-46.718	-49.360	-46.685	-58.818	-42.660
